date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:51:27	152796/152796	---M--	200	added ('OK')	font/ttf	date:Sat,%2003%20Sep%202016%2009:13:00%20GMT	https://www.unikexploral.com/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/donald1/www.unikexploral.com/fonts/fontawesome-webfont3e6e.ttf	(from https://www.unikexploral.com/css/font-awesome.css)
02:51:27	391622/391622	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2003%20Sep%202016%2009:13:00%20GMT	https://www.unikexploral.com/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/donald1/www.unikexploral.com/fonts/fontawesome-webfont3e6e.svg	(from https://www.unikexploral.com/css/font-awesome.css)
02:51:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:49%20GMT	https://www.unikexploral.com/images/2.jpg	C:/My%20Web%20Sites/donald1/www.unikexploral.com/images/2.jpg	(from https://www.unikexploral.com/about)
02:51:27	8044/8044	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Mar%202017%2011:51:12%20GMT	https://www.unikexploral.com/js/waypoints.min.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/waypoints.min.js	(from https://www.unikexploral.com/about)
02:51:28	1067/1067	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Mar%202017%2011:51:14%20GMT	https://www.unikexploral.com/js/counterup.min.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/counterup.min.js	(from https://www.unikexploral.com/about)
02:51:28	12575/12575	---M--	200	added ('OK')	text/css	date:Fri,%2015%20Jun%202018%2011:11:20%20GMT	https://www.unikexploral.com/css/style-login.css	C:/My%20Web%20Sites/donald1/www.unikexploral.com/css/style-login.css	(from https://www.unikexploral.com/account)
02:51:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:51%20GMT	https://www.unikexploral.com/js/Chart.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/Chart.js	(from https://www.unikexploral.com/account)
02:51:30	5697/5697	---M--	200	added ('OK')	application/javascript	date:Fri,%2005%20Feb%202016%2016:28:02%20GMT	https://www.unikexploral.com/js/easyResponsiveTabs.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/easyResponsiveTabs.js	(from https://www.unikexploral.com/account)
02:51:30	95786/95786	---M--	200	added ('OK')	application/javascript	date:Tue,%2008%20Mar%202016%2017:34:58%20GMT	https://www.unikexploral.com/js/jquery-1.11.1.min.js	C:/My%20Web%20Sites/donald1/www.unikexploral.com/js/jquery-1.11.1.min.js	(from https://www.unikexploral.com/account)
02:51:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:53%20GMT	https://www.unikexploral.com/images/tick.png	C:/My%20Web%20Sites/donald1/www.unikexploral.com/images/tick.png	(from https://www.unikexploral.com/css/style-login.css)
02:51:31	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:54%20GMT	https://www.unikexploral.com/images/i1.png	C:/My%20Web%20Sites/donald1/www.unikexploral.com/images/i1.png	(from https://www.unikexploral.com/css/style-login.css)
02:51:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:54%20GMT	https://www.unikexploral.com/images/i2.png	C:/My%20Web%20Sites/donald1/www.unikexploral.com/images/i2.png	(from https://www.unikexploral.com/css/style-login.css)
02:51:32	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:55%20GMT	https://www.unikexploral.com/images/i4.png	C:/My%20Web%20Sites/donald1/www.unikexploral.com/images/i4.png	(from https://www.unikexploral.com/css/style-login.css)
02:51:33	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Nov%202019%2013:51:55%20GMT	https://www.unikexploral.com/images/1.jpg	C:/My%20Web%20Sites/donald1/www.unikexploral.com/images/1.jpg	(from https://www.unikexploral.com/css/style-login.css)
